
> dragonfly-ts@1.0.0 server /Users/bwh/Workspaces/js/ts-test
> ts-node -r tsconfig-paths/register --project config/server/tsconfig.json src/server/main.ts

[2020-07-09T04:45:42.838Z] [debug] LogManager initialized
[2020-07-09T04:45:42.842Z] [debug] NetworkManager initialized
[2020-07-09T04:45:42.842Z] [debug] ChatManager initialized
[2020-07-09T04:45:42.849Z] [info] listening on port 8080
[2020-07-09T04:45:42.849Z] [debug] TimerManager initialized
[2020-07-09T04:45:48.789Z] [debug] read file: ./static/index.html
[2020-07-09T04:45:48.827Z] [debug] read file: static/style.css (text/css)
[2020-07-09T04:45:48.835Z] [debug] read file: build/client/bundle.js (application/javascript)
[2020-07-09T04:45:48.866Z] [debug] accepted connection on socket 0
[2020-07-09T04:45:48.960Z] [debug] waking timer
[2020-07-09T04:45:48.962Z] [debug] dt: 0.00007553701288998127
[2020-07-09T04:45:48.962Z] [debug] receive: {"type":"NetworkMessageEvent","data":{"socket":0,"message":{"type":"SetNameEvent","data":{"name":"Blue-Coyote"}}}}
[2020-07-09T04:45:48.963Z] [debug] player 0 set name to Blue-Coyote
[2020-07-09T04:45:48.981Z] [debug] dt: 0.018151258991565555
[2020-07-09T04:45:48.998Z] [debug] dt: 0.017006943991873413
[2020-07-09T04:45:49.017Z] [debug] dt: 0.01883582101436332
[2020-07-09T04:45:49.037Z] [debug] dt: 0.018819971999619156
[2020-07-09T04:45:49.056Z] [debug] dt: 0.01881712197791785
[2020-07-09T04:45:49.074Z] [debug] dt: 0.017340625054202974
[2020-07-09T04:45:49.091Z] [debug] dt: 0.016706816968508065
[2020-07-09T04:45:49.107Z] [debug] dt: 0.016341172973625362
[2020-07-09T04:45:49.126Z] [debug] dt: 0.017996260023210198
[2020-07-09T04:45:49.144Z] [debug] dt: 0.017982521967496723
[2020-07-09T04:45:49.161Z] [debug] dt: 0.01642159599578008
[2020-07-09T04:45:49.177Z] [debug] dt: 0.016076244006399065
[2020-07-09T04:45:49.198Z] [debug] dt: 0.02015287894755602
[2020-07-09T04:45:49.215Z] [debug] dt: 0.01706622599158436
[2020-07-09T04:45:49.231Z] [debug] dt: 0.016082418034784496
[2020-07-09T04:45:49.250Z] [debug] dt: 0.018066225049551576
[2020-07-09T04:45:49.270Z] [debug] dt: 0.019107047002762556
[2020-07-09T04:45:49.289Z] [debug] dt: 0.018487308989278972
[2020-07-09T04:45:49.307Z] [debug] dt: 0.01835054496768862
[2020-07-09T04:45:49.326Z] [debug] dt: 0.018016626010648906
[2020-07-09T04:45:49.345Z] [debug] dt: 0.018317283014766872
[2020-07-09T04:45:49.362Z] [debug] dt: 0.017531262012198567
[2020-07-09T04:45:49.380Z] [debug] dt: 0.01737193501321599
[2020-07-09T04:45:49.398Z] [debug] dt: 0.01737904001493007
[2020-07-09T04:45:49.416Z] [debug] dt: 0.017528250988107175
[2020-07-09T04:45:49.433Z] [debug] dt: 0.01759364001918584
[2020-07-09T04:45:49.454Z] [debug] dt: 0.019371418980881572
[2020-07-09T04:45:49.471Z] [debug] dt: 0.016316788969561458
[2020-07-09T04:45:49.489Z] [debug] dt: 0.018057795998174697
[2020-07-09T04:45:49.508Z] [debug] dt: 0.018780237005557865
[2020-07-09T04:45:49.527Z] [debug] dt: 0.018421237997245044
[2020-07-09T04:45:49.545Z] [debug] dt: 0.017107677995227277
[2020-07-09T04:45:49.563Z] [debug] dt: 0.018225934996735305
[2020-07-09T04:45:49.584Z] [debug] dt: 0.020132359000854194
[2020-07-09T04:45:49.604Z] [debug] dt: 0.019594427023548633
[2020-07-09T04:45:49.620Z] [debug] dt: 0.016280501964502037
[2020-07-09T04:45:49.638Z] [debug] dt: 0.01695979799842462
[2020-07-09T04:45:49.657Z] [debug] dt: 0.01940859801834449
[2020-07-09T04:45:49.677Z] [debug] dt: 0.018936802982352674
[2020-07-09T04:45:49.694Z] [debug] dt: 0.016662140958942473
[2020-07-09T04:45:49.711Z] [debug] dt: 0.01670267595909536
[2020-07-09T04:45:49.731Z] [debug] dt: 0.01940077100880444
[2020-07-09T04:45:49.749Z] [debug] dt: 0.01735551201272756
[2020-07-09T04:45:49.766Z] [debug] dt: 0.016558545001316816
[2020-07-09T04:45:49.782Z] [debug] dt: 0.01649785798508674
[2020-07-09T04:45:49.802Z] [debug] dt: 0.019126954022794962
[2020-07-09T04:45:49.820Z] [debug] dt: 0.017961549980100244
[2020-07-09T04:45:49.837Z] [debug] dt: 0.01674913801252842
[2020-07-09T04:45:49.856Z] [debug] dt: 0.01812995201908052
[2020-07-09T04:45:49.873Z] [debug] dt: 0.0172739929985255
[2020-07-09T04:45:49.892Z] [debug] dt: 0.018564881989732385
[2020-07-09T04:45:49.909Z] [debug] dt: 0.017014176002703607
[2020-07-09T04:45:49.927Z] [debug] dt: 0.017830583965405822
[2020-07-09T04:45:49.944Z] [debug] dt: 0.016660680004861206
[2020-07-09T04:45:49.961Z] [debug] dt: 0.016727865964639932
[2020-07-09T04:45:49.979Z] [debug] dt: 0.017738076974637806
[2020-07-09T04:45:49.999Z] [debug] dt: 0.01903411204693839
[2020-07-09T04:45:50.016Z] [debug] dt: 0.01633204601239413
[2020-07-09T04:45:50.032Z] [debug] dt: 0.01645029301289469
[2020-07-09T04:45:50.050Z] [debug] dt: 0.017447784019168466
[2020-07-09T04:45:50.069Z] [debug] dt: 0.018155503028538078
[2020-07-09T04:45:50.087Z] [debug] dt: 0.01839957805350423
[2020-07-09T04:45:50.108Z] [debug] dt: 0.020830749010201544
[2020-07-09T04:45:50.127Z] [debug] dt: 0.018905050994362682
[2020-07-09T04:45:50.144Z] [debug] dt: 0.01661828497890383
[2020-07-09T04:45:50.161Z] [debug] dt: 0.016814574017189443
[2020-07-09T04:45:50.180Z] [debug] dt: 0.01828345301328227
[2020-07-09T04:45:50.197Z] [debug] dt: 0.01641834096517414
[2020-07-09T04:45:50.214Z] [debug] dt: 0.01733600301668048
[2020-07-09T04:45:50.233Z] [debug] dt: 0.018932524020783603
[2020-07-09T04:45:50.252Z] [debug] dt: 0.017802399990614504
[2020-07-09T04:45:50.272Z] [debug] dt: 0.02004484599456191
[2020-07-09T04:45:50.291Z] [debug] dt: 0.01842160796513781
[2020-07-09T04:45:50.308Z] [debug] dt: 0.016457068966701627
[2020-07-09T04:45:50.326Z] [debug] dt: 0.018228078028187156
[2020-07-09T04:45:50.344Z] [debug] dt: 0.017901941027957946
[2020-07-09T04:45:50.363Z] [debug] dt: 0.017862690961919725
[2020-07-09T04:45:50.383Z] [debug] dt: 0.020186470996122807
[2020-07-09T04:45:50.402Z] [debug] dt: 0.018927705008536577
[2020-07-09T04:45:50.422Z] [debug] dt: 0.01967913703992963
[2020-07-09T04:45:50.441Z] [debug] dt: 0.018038584967143834
[2020-07-09T04:45:50.459Z] [debug] dt: 0.018385456001851708
[2020-07-09T04:45:50.478Z] [debug] dt: 0.018050910031888634
[2020-07-09T04:45:50.496Z] [debug] dt: 0.018330221995711327
[2020-07-09T04:45:50.513Z] [debug] dt: 0.016940672998316586
[2020-07-09T04:45:50.530Z] [debug] dt: 0.01674618199467659
[2020-07-09T04:45:50.549Z] [debug] dt: 0.018042484996840358
[2020-07-09T04:45:50.566Z] [debug] dt: 0.017285452981013805
[2020-07-09T04:45:50.586Z] [debug] dt: 0.019428932981099933
[2020-07-09T04:45:50.605Z] [debug] dt: 0.018442208995111287
[2020-07-09T04:45:50.624Z] [debug] dt: 0.018710103002376854
[2020-07-09T04:45:50.642Z] [debug] dt: 0.018387636984698474
[2020-07-09T04:45:50.661Z] [debug] dt: 0.01817856595152989
[2020-07-09T04:45:50.681Z] [debug] dt: 0.02020428702235222
[2020-07-09T04:45:50.700Z] [debug] dt: 0.018185664957854897
[2020-07-09T04:45:50.720Z] [debug] dt: 0.020269366970751435
[2020-07-09T04:45:50.739Z] [debug] dt: 0.01781036105239764
[2020-07-09T04:45:50.756Z] [debug] dt: 0.017275875026825815
[2020-07-09T04:45:50.776Z] [debug] dt: 0.01909105305094272
[2020-07-09T04:45:50.794Z] [debug] dt: 0.01765422202879563
[2020-07-09T04:45:50.814Z] [debug] dt: 0.019708522013388574
[2020-07-09T04:45:50.831Z] [debug] dt: 0.017196666973177344
[2020-07-09T04:45:50.851Z] [debug] dt: 0.019030408991966397
[2020-07-09T04:45:50.867Z] [debug] dt: 0.01659801200730726
[2020-07-09T04:45:50.886Z] [debug] dt: 0.01792854897212237
[2020-07-09T04:45:50.908Z] [debug] dt: 0.02191530098207295
[2020-07-09T04:45:50.928Z] [debug] dt: 0.019734330009669065
[2020-07-09T04:45:50.948Z] [debug] dt: 0.020096438995096833
[2020-07-09T04:45:50.966Z] [debug] dt: 0.017348326975479722
[2020-07-09T04:45:50.985Z] [debug] dt: 0.018980940978508443
[2020-07-09T04:45:51.005Z] [debug] dt: 0.019363708037417382
[2020-07-09T04:45:51.023Z] [debug] dt: 0.01754939800594002
[2020-07-09T04:45:51.042Z] [debug] dt: 0.019445076992269605
[2020-07-09T04:45:51.062Z] [debug] dt: 0.019156294991262257
[2020-07-09T04:45:51.080Z] [debug] dt: 0.017508202989120036
[2020-07-09T04:45:51.097Z] [debug] dt: 0.016906893986742944
[2020-07-09T04:45:51.114Z] [debug] dt: 0.016885174030903727
[2020-07-09T04:45:51.132Z] [debug] dt: 0.018036874011158943
[2020-07-09T04:45:51.151Z] [debug] dt: 0.018262230965774506
[2020-07-09T04:45:51.168Z] [debug] dt: 0.017387291009072214
[2020-07-09T04:45:51.188Z] [debug] dt: 0.019224315008614212
[2020-07-09T04:45:51.206Z] [debug] dt: 0.01742217200808227
[2020-07-09T04:45:51.223Z] [debug] dt: 0.016598561021964997
[2020-07-09T04:45:51.240Z] [debug] dt: 0.017192668979987502
[2020-07-09T04:45:51.259Z] [debug] dt: 0.019139262032695115
[2020-07-09T04:45:51.277Z] [debug] dt: 0.017521866015158594
[2020-07-09T04:45:51.295Z] [debug] dt: 0.017890065035317093
[2020-07-09T04:45:51.315Z] [debug] dt: 0.019018034974578768
[2020-07-09T04:45:51.335Z] [debug] dt: 0.020187976013403386
[2020-07-09T04:45:51.356Z] [debug] dt: 0.020152583019807935
[2020-07-09T04:45:51.376Z] [debug] dt: 0.020243081031367183
[2020-07-09T04:45:51.394Z] [debug] dt: 0.017755242995917797
[2020-07-09T04:45:51.412Z] [debug] dt: 0.017802734044380486
[2020-07-09T04:45:51.431Z] [debug] dt: 0.017957795003894717
[2020-07-09T04:45:51.449Z] [debug] dt: 0.01846379099879414
[2020-07-09T04:45:51.470Z] [debug] dt: 0.02018874097848311
[2020-07-09T04:45:51.488Z] [debug] dt: 0.017730110965203494
[2020-07-09T04:45:51.505Z] [debug] dt: 0.017142297991085798
[2020-07-09T04:45:51.522Z] [debug] dt: 0.01695515197934583
[2020-07-09T04:45:51.540Z] [debug] dt: 0.017809000972192734
[2020-07-09T04:45:51.560Z] [debug] dt: 0.01899047300685197
[2020-07-09T04:45:51.579Z] [debug] dt: 0.019148080027662218
[2020-07-09T04:45:51.596Z] [debug] dt: 0.017228093987796456
[2020-07-09T04:45:51.617Z] [debug] dt: 0.02020033198641613
[2020-07-09T04:45:51.635Z] [debug] dt: 0.017387880012392998
[2020-07-09T04:45:51.652Z] [debug] dt: 0.01732338301371783
[2020-07-09T04:45:51.672Z] [debug] dt: 0.019477463967632502
[2020-07-09T04:45:51.689Z] [debug] dt: 0.016877511981874704
[2020-07-09T04:45:51.708Z] [debug] dt: 0.018064690986648202
[2020-07-09T04:45:51.727Z] [debug] dt: 0.019023694971110672
[2020-07-09T04:45:51.747Z] [debug] dt: 0.019757010973989964
[2020-07-09T04:45:51.766Z] [debug] dt: 0.018321871990337968
[2020-07-09T04:45:51.784Z] [debug] dt: 0.017946387000847608
[2020-07-09T04:45:51.802Z] [debug] dt: 0.017416532966308296
[2020-07-09T04:45:51.821Z] [debug] dt: 0.01924768596654758
[2020-07-09T04:45:51.838Z] [debug] dt: 0.016638858010992408
[2020-07-09T04:45:51.856Z] [debug] dt: 0.01787155697820708
[2020-07-09T04:45:51.875Z] [debug] dt: 0.0179301259922795
[2020-07-09T04:45:51.894Z] [debug] dt: 0.01924344600411132
[2020-07-09T04:45:51.911Z] [debug] dt: 0.016717999998945743
[2020-07-09T04:45:51.930Z] [debug] dt: 0.01814903103513643
[2020-07-09T04:45:51.946Z] [debug] dt: 0.016433166980277747
[2020-07-09T04:45:51.965Z] [debug] dt: 0.018143999972380698
[2020-07-09T04:45:51.983Z] [debug] dt: 0.01787298999261111
[2020-07-09T04:45:52.000Z] [debug] dt: 0.01657578902086243
[2020-07-09T04:45:52.016Z] [debug] dt: 0.016268833016511053
[2020-07-09T04:45:52.037Z] [debug] dt: 0.019830307050142437
[2020-07-09T04:45:52.055Z] [debug] dt: 0.01778200699482113
[2020-07-09T04:45:52.072Z] [debug] dt: 0.017142147989943624
[2020-07-09T04:45:52.088Z] [debug] dt: 0.016083048016298562
[2020-07-09T04:45:52.108Z] [debug] dt: 0.019127901003230363
[2020-07-09T04:45:52.127Z] [debug] dt: 0.01861586101585999
[2020-07-09T04:45:52.143Z] [debug] dt: 0.016465573979075998
[2020-07-09T04:45:52.161Z] [debug] dt: 0.01781618600944057
[2020-07-09T04:45:52.179Z] [debug] dt: 0.017326855973806232
[2020-07-09T04:45:52.196Z] [debug] dt: 0.016926943964790553
[2020-07-09T04:45:52.214Z] [debug] dt: 0.01799252297496423
[2020-07-09T04:45:52.233Z] [debug] dt: 0.01865509699564427
[2020-07-09T04:45:52.254Z] [debug] dt: 0.020261134952306747
[2020-07-09T04:45:52.274Z] [debug] dt: 0.019402318983338773
[2020-07-09T04:45:52.293Z] [debug] dt: 0.01851833495311439
[2020-07-09T04:45:52.312Z] [debug] dt: 0.01900524302618578
[2020-07-09T04:45:52.329Z] [debug] dt: 0.016679036954883486
[2020-07-09T04:45:52.350Z] [debug] dt: 0.02020014199661091
[2020-07-09T04:45:52.367Z] [debug] dt: 0.01671889197314158
[2020-07-09T04:45:52.387Z] [debug] dt: 0.020257694006431848
[2020-07-09T04:45:52.407Z] [debug] dt: 0.018783052044454962
[2020-07-09T04:45:52.426Z] [debug] dt: 0.018573858018498868
[2020-07-09T04:45:52.442Z] [debug] dt: 0.016322413051966578
[2020-07-09T04:45:52.460Z] [debug] dt: 0.01743846497265622
[2020-07-09T04:45:52.480Z] [debug] dt: 0.01978765503736213
[2020-07-09T04:45:52.501Z] [debug] dt: 0.020270784036256373
[2020-07-09T04:45:52.520Z] [debug] dt: 0.018713211989961565
[2020-07-09T04:45:52.540Z] [debug] dt: 0.01960527803748846
[2020-07-09T04:45:52.559Z] [debug] dt: 0.018639946007169783
[2020-07-09T04:45:52.577Z] [debug] dt: 0.018323890981264412
[2020-07-09T04:45:52.598Z] [debug] dt: 0.020290476037189364
[2020-07-09T04:45:52.615Z] [debug] dt: 0.017023480031639338
[2020-07-09T04:45:52.632Z] [debug] dt: 0.01679429702926427
[2020-07-09T04:45:52.650Z] [debug] dt: 0.017040113976690918
[2020-07-09T04:45:52.668Z] [debug] dt: 0.01778458704939112
[2020-07-09T04:45:52.687Z] [debug] dt: 0.019092880946118385
[2020-07-09T04:45:52.707Z] [debug] dt: 0.020182769978418946
[2020-07-09T04:45:52.727Z] [debug] dt: 0.018868413055315614
[2020-07-09T04:45:52.746Z] [debug] dt: 0.019133438006974757
[2020-07-09T04:45:52.767Z] [debug] dt: 0.020258028991520405
[2020-07-09T04:45:52.785Z] [debug] dt: 0.01773254299769178
[2020-07-09T04:45:52.804Z] [debug] dt: 0.018108927994035184
[2020-07-09T04:45:52.823Z] [debug] dt: 0.018800381978508085
[2020-07-09T04:45:52.843Z] [debug] dt: 0.019918079022318125
[2020-07-09T04:45:52.862Z] [debug] dt: 0.018649642006494105
[2020-07-09T04:45:52.879Z] [debug] dt: 0.01668890903238207
[2020-07-09T04:45:52.899Z] [debug] dt: 0.01948497397825122
[2020-07-09T04:45:52.915Z] [debug] dt: 0.016375273989979178
[2020-07-09T04:45:52.936Z] [debug] dt: 0.020180389983579516
[2020-07-09T04:45:52.954Z] [debug] dt: 0.01752349000889808
[2020-07-09T04:45:52.974Z] [debug] dt: 0.020249955996405333
[2020-07-09T04:45:52.992Z] [debug] dt: 0.017530607001390308
[2020-07-09T04:45:53.010Z] [debug] dt: 0.017793974024243653
[2020-07-09T04:45:53.028Z] [debug] dt: 0.017255101003684103
[2020-07-09T04:45:53.045Z] [debug] dt: 0.016587938996963203
[2020-07-09T04:45:53.065Z] [debug] dt: 0.019922464969567955
[2020-07-09T04:45:53.083Z] [debug] dt: 0.01812504802364856
[2020-07-09T04:45:53.101Z] [debug] dt: 0.017164718999993056
[2020-07-09T04:45:53.121Z] [debug] dt: 0.019271419965662062
[2020-07-09T04:45:53.138Z] [debug] dt: 0.016545119986403733
[2020-07-09T04:45:53.156Z] [debug] dt: 0.017846862028818578
[2020-07-09T04:45:53.176Z] [debug] dt: 0.020220747974235564
[2020-07-09T04:45:53.197Z] [debug] dt: 0.020239542005583644
[2020-07-09T04:45:53.214Z] [debug] dt: 0.016863444005139172
[2020-07-09T04:45:53.231Z] [debug] dt: 0.016602624964434654
[2020-07-09T04:45:53.248Z] [debug] dt: 0.016588633006904274
[2020-07-09T04:45:53.269Z] [debug] dt: 0.02019621100043878
[2020-07-09T04:45:53.285Z] [debug] dt: 0.016158943995833397
[2020-07-09T04:45:53.305Z] [debug] dt: 0.019802136986982077
[2020-07-09T04:45:53.325Z] [debug] dt: 0.01930809102486819
[2020-07-09T04:45:53.342Z] [debug] dt: 0.01669873303035274
[2020-07-09T04:45:53.361Z] [debug] dt: 0.018238265009131283
[2020-07-09T04:45:53.380Z] [debug] dt: 0.018932630016934127
[2020-07-09T04:45:53.401Z] [debug] dt: 0.02018968400079757
[2020-07-09T04:45:53.421Z] [debug] dt: 0.020260666962713003
[2020-07-09T04:45:53.439Z] [debug] dt: 0.01774465397465974
[2020-07-09T04:45:53.457Z] [debug] dt: 0.017756952962372452
[2020-07-09T04:45:53.475Z] [debug] dt: 0.01700165803777054
[2020-07-09T04:45:53.494Z] [debug] dt: 0.01902027294272557
[2020-07-09T04:45:53.514Z] [debug] dt: 0.018879593000747263
[2020-07-09T04:45:53.532Z] [debug] dt: 0.018069947022013366
[2020-07-09T04:45:53.551Z] [debug] dt: 0.018750114017166197
[2020-07-09T04:45:53.568Z] [debug] dt: 0.017006148991640657
[2020-07-09T04:45:53.587Z] [debug] dt: 0.018711986020207405
[2020-07-09T04:45:53.604Z] [debug] dt: 0.01681457000086084
[2020-07-09T04:45:53.625Z] [debug] dt: 0.019763334013987333
[2020-07-09T04:45:53.645Z] [debug] dt: 0.020259162003640085
[2020-07-09T04:45:53.663Z] [debug] dt: 0.017413809953723103
[2020-07-09T04:45:53.681Z] [debug] dt: 0.017995160014834255
[2020-07-09T04:45:53.699Z] [debug] dt: 0.017296535021159798
[2020-07-09T04:45:53.717Z] [debug] dt: 0.01748138602124527
[2020-07-09T04:45:53.737Z] [debug] dt: 0.01996921800309792
[2020-07-09T04:45:53.755Z] [debug] dt: 0.017414164962247014
[2020-07-09T04:45:53.775Z] [debug] dt: 0.019706346036400646
[2020-07-09T04:45:53.791Z] [debug] dt: 0.016356896026991308
[2020-07-09T04:45:53.808Z] [debug] dt: 0.016616578970570117
[2020-07-09T04:45:53.825Z] [debug] dt: 0.016718244994990528
[2020-07-09T04:45:53.844Z] [debug] dt: 0.01888621604302898
[2020-07-09T04:45:53.863Z] [debug] dt: 0.01788534503430128
[2020-07-09T04:45:53.880Z] [debug] dt: 0.017439478018786758
[2020-07-09T04:45:53.901Z] [debug] dt: 0.02018286200473085
[2020-07-09T04:45:53.918Z] [debug] dt: 0.016479662037454545
[2020-07-09T04:45:53.934Z] [debug] dt: 0.01654192100977525
[2020-07-09T04:45:53.954Z] [debug] dt: 0.01950884301913902
